Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.2031506435079853268215436742,0.203150643507985,0.203150643507985,0.203150643507985,0.203150643507985,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,355035.9
0.02,0,0.2075483693602421370797898040,0.207548369360242,0.207548369360242,0.207548369360242,0.207548369360242,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,710071.8
0.03,0,0.2216909467363168526836159169,0.221690946736317,0.221690946736317,0.221690946736317,0.221690946736317,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,1065108
0.04,0,0.2273509730906741205131993078,0.227350973090674,0.227350973090674,0.227350973090674,0.227350973090674,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,1420144
0.05,0,0.2298235531860576183445312806,0.229823553186058,0.229823553186058,0.229823553186058,0.229823553186058,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,1775180
0.06,0,0.2308662888288163048126704006,0.230866288828816,0.230866288828816,0.230866288828816,0.230866288828816,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,2130216
0.07,0,0.2311916988832485656132561930,0.231191698883249,0.231191698883249,0.231191698883249,0.231191698883249,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,2485252
0.08,0,0.2311312327628234357574566885,0.231131232762823,0.231131232762823,0.231131232762823,0.231131232762823,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,2840287
0.09,0,0.2308545388628015562316944907,0.230854538862802,0.230854538862802,0.230854538862802,0.230854538862802,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,3195324
0.10,0,0.2307938456761381547729609966,0.230793845676138,0.230793845676138,0.230793845676138,0.230793845676138,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,3550359
0.11,0,0.2307869677464777354735193986,0.230786967746478,0.230786967746478,0.230786967746478,0.230786967746478,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,3905395
0.12,0,0.2307800524710386829637233769,0.230780052471039,0.230780052471039,0.230780052471039,0.230780052471039,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,4260431
0.13,0,0.2307731002386990276469630368,0.230773100238699,0.230773100238699,0.230773100238699,0.230773100238699,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,4615467
0.14,0,0.2307661114344917295491965188,0.230766111434492,0.230766111434492,0.230766111434492,0.230766111434492,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,4970503
0.15,0,0.2307590864396483673977717238,0.230759086439648,0.230759086439648,0.230759086439648,0.230759086439648,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,5325539
0.16,0,0.2307520256316413073168197434,0.230752025631641,0.230752025631641,0.230752025631641,0.230752025631641,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,5680574
0.17,0,0.2307449293842254399889351110,0.230744929384225,0.230744929384225,0.230744929384225,0.230744929384225,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,6035610
0.18,0,0.2307377980674800382002843481,0.23073779806748,0.23073779806748,0.23073779806748,0.23073779806748,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,6390647
0.19,0,0.2307306320478493828520013313,0.230730632047849,0.230730632047849,0.230730632047849,0.230730632047849,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,6745682
0.20,0,0.2307234316881836601218675437,0.230723431688184,0.230723431688184,0.230723431688184,0.230723431688184,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,7100718
0.21,0,0.2307161973477766636414244949,0.230716197347777,0.230716197347777,0.230716197347777,0.230716197347777,0,0,0,0,7.206824306948914,43.543722302499857356754503275,43.543722302499857356754503275,7455754
